id	species	size	synonyms	symbols	descriptions
1171535	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20410; BSU20400	yorE; yorF	hypothetical protein; hypothetical protein
1171536	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20460; BSU20450	yoqZ; yorA	hypothetical protein; capsid component; phage SPbeta
1171537	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU20550; BSU20540; BSU20530	yoqP; yoqR; yoqS	hypothetical protein; hypothetical protein; hypothetical protein
1171538	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU20610; BSU20600; BSU20590	yoqJ; yoqK; yoqL	hypothetical protein; hypothetical protein; endonuclease; phage SPbeta
1171539	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20630; BSU20620	yoqH; yoqI	hypothetical protein; hypothetical protein
1171540	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	11	BSU20740; BSU20730; BSU20720; BSU20710; BSU20700; BSU20690; BSU20680; BSU20670; BSU20660; BSU20650; BSU20640	yopW; yopX; yopY; yopZ; yoqA; yoqB; yoqC; yoqD; yoqE; yoqF; yoqG	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; nucleotide-binding protein; phage SPbeta; DNA-binding protein anti-repressor; phage SPbeta; hypothetical protein; hypothetical protein; hypothetical protein
1171541	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20800; BSU20790	yopQ; yopR	hypothetical protein; integrase; phage SPbeta
1171542	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20820; BSU20810	yopO; yopP	transcriptional regulator; phage integrase; phage SPbeta
1171543	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20840; BSU20830	yopM; yopN	hypothetical protein; hypothetical protein
1171544	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU20860; BSU20850	yopK; yopL	hypothetical protein; hypothetical protein
1171545	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU20920; BSU20910; BSU20900; BSU20890; BSU20880; BSU20870	yopE; yopF; yopG; yopH; yopI; yopJ	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; nucleotide binding protein; phage SPbeta
1171546	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU21000; BSU20999; BSU20990	yonT; yoyJ; yonU	hypothetical protein; hypothetical protein; hypothetical protein
1171547	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21070; BSU21060	yonJ; yonK	hypothetical protein; hypothetical protein
1171548	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU21150; BSU21140; BSU21130; BSU21120; BSU21110; BSU21100	yonB; yonC; yonD; yonE; yonF; yonG	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; prophage terminase, ATP subunit; phage SPbeta; hypothetical protein
1171549	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU21210; BSU21200; BSU21190; BSU21180; BSU21170; BSU21160	yomV; yomW; yomX; yomY; yomZ; yonA	hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein
1171550	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU21230; BSU21229; BSU21220	yomT; youA; yomU	hypothetical protein; hypothetical protein; hypothetical protein
1171551	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU21300; BSU21290; BSU21280; BSU21270; BSU21260; BSU21250; BSU21240	yomM; yomN; yomO; yomP; yomQ; yomR; yomS	integrase; phage SPbeta; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; phage-related lytic exoenzyme; phage SPbeta
1171552	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21329; BSU21320	youB; yomL	hypothetical protein; hypothetical protein
1171553	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU21390; BSU21380; BSU21370; BSU21360; BSU21350	yomE; yomF; yomG; yomH; yomI	glycosyl hydrolase; phage SPbeta; hypothetical protein; hypothetical protein; hypothetical protein; SPbeta phage protein; lytic transglycosylase
1171554	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21430; BSU21420	bhlB; bhlA	holin-like bacteriophage SPbeta protein; bacteriophage SPbeta holin-like protein
1171555	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU21470; BSU21460; BSU21450; BSU21440	sunT; bdbA; yolJ; bdbB	sublancin 168 lantibiotic transporter; bacteriophage SPbeta thiol-disulfide oxidoreductase; glycosyltransferase; bacteriophage SPbeta thiol-disulfide oxidoreductase
1171556	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21510; BSU21500	yolD; uvrX	hypothetical protein; lesion bypass phage DNA polymerase
1171557	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21540; BSU21530	yolA; yolB	hypothetical protein; hypothetical protein
1171558	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21560; BSU21550	yokK; yokL	hypothetical protein; acetyl-transferase
1171559	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21580; BSU21570	yokI; yokJ	DNA wielding protein; phage SPbeta; hypothetical protein
1171560	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21620; BSU21610	yokE; yokF	hypothetical protein; SPbeta phage DNA nuclease, lipoprotein
1171561	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21690; BSU21680	msrA; yppQ	methionine sulfoxide reductase A; methionine sulfoxide reductase B
1171562	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU21750; BSU21740; BSU21730; BSU21720	scuA; ypmR; ypmS; ypmT	assembly factor BSco of the Cu(A) site of cytochrome c oxidase; exported lipase/acylhydrolase (lipoprotein); hypothetical protein; hypothetical protein
1171563	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21790; BSU21780	yplQ; yplP	membrane hydrolase; transcriptional enhancer
1171564	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU21820; BSU21810; BSU21800	thyA; dfrA; ypkP	thymidylate synthase; dihydrofolate reductase; acyltransferase
1171565	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21840; BSU21830	ypjP; ypjQ	hypothetical protein; phosphatidylglycerophosphatase
1171566	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21860; BSU21850	yphP; ypiP	hypothetical protein; methyltransferase
1171567	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU21900; BSU21890; BSU21880	bsaA; ypgQ; ypgR	peroxidase; metal-dependent phosphohydrolase; lyase
1171568	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU21970; BSU21960	ypeP; ypeQ	hypothetical protein; hypothetical protein
1171569	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22000; BSU21990; BSU21980	sspL; ypdQ; ypdP	small acid-soluble spore protein; hypothetical protein; integral inner membrane protein
1171570	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22050; BSU22040	bcsA; ypbQ	terpene family molecule synthase; integral inner membrane protein
1171571	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22070; BSU22060	xpt; pbuX	xanthine phosphoribosyltransferase; xanthine permease
1171572	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU22120; BSU22110; BSU22100; BSU22090	kdgR; kdgK; kdgA; kdgT	Kdg operon transcriptional regulator; 2-keto-3-deoxygluconate kinase; 2-keto-3-deoxygluconate-6-phosphate aldolase; 2-keto-3-deoxygluconate permease
1171573	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22140; BSU22130	kduD; kduI	2-deoxy-D-gluconate 3-dehydrogenase; 5-keto-4-deoxyuronate isomerase
1171574	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22200; BSU22190; BSU22180	cotD; ypsA; ypsB	spore coat protein; hypothetical protein; cell division protein GpsB
1171575	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22220; BSU22210	yprA; yprB	ATP-dependent helicase; nucleic acid binding enzyme
1171576	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22280; BSU22270	yppD; yppE	hypothetical protein; hypothetical protein
1171577	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22320; BSU22310	ponA; recU	peptidoglycan glycosyltransferase; Holliday junction-specific endonuclease
1171578	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22350; BSU22340; BSU22330	dnaD; nth; ypoC	DNA-remodelling primosomal protein; endonuclease III; hypothetical protein
1171579	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22390; BSU22380; BSU22370	ypmA; ypmB; aspB	hypothetical protein; hypothetical protein; aspartate aminotransferase
1171580	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU22430; BSU22420; BSU22410; BSU22400	panB; panC; panD; dinG	3-methyl-2-oxobutanoate hydroxymethyltransferase; pantoate--beta-alanine ligase; aspartate alpha-decarboxylase; bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon
1171581	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU22500; BSU22490; BSU22480; BSU22470; BSU22460; BSU22450; BSU22440	ypjD; dapB; mgsA; ypjG; ypjH; cca; birA	nucleotide phosphohydrolase; dihydrodipicolinate reductase; methylglyoxal synthase; hypothetical protein; hypothetical protein; tRNA CCA-pyrophosphorylase; biotin acetyl-CoA-carboxylase ligase and biotin regulon repressor
1171582	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22530; BSU22520	ypjA; ypjB	integral inner membrane protein; spore formation membrane associated protein
1171583	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22560; BSU22550; BSU22540	qcrA; qcrB; qcrC	menaquinol:cytochrome c oxidoreductase iron-sulfur subunit; cytochrome b6; menaquinol:cytochrome c oxidoreductase cytochrome cc subunit
1171584	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22590; BSU22580; BSU22570	ypiA; ypiB; ypiF	hypothetical protein; hypothetical protein; hypothetical protein
1171585	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	9	BSU22680; BSU22670; BSU22660; BSU22650; BSU22640; BSU22630; BSU22620; BSU22610; BSU22600	trpE; trpD; trpC; trpF; trpB; trpA; hisC; tyrA; aroE	anthranilate synthase component I; anthranilate phosphoribosyltransferase; indole-3-glycerol-phosphate synthase; N-(5'-phosphoribosyl)anthranilate isomerase; tryptophan synthase subunit beta; tryptophan synthase subunit alpha; histidinol-phosphate aminotransferase; prephenate dehydrogenase; 3-phosphoshikimate 1-carboxyvinyltransferase
1171586	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU22720; BSU22710; BSU22700; BSU22690	cheR; aroF; aroB; aroH	methyl-accepting chemotaxis protein; chorismate synthase; 3-dehydroquinate synthase; chorismate mutase
1171587	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU22760; BSU22750; BSU22740; BSU22730	hepS; ubiE; hepT; ndk	heptaprenyl diphosphate synthase component I; ubiquinone/menaquinone biosynthesis methyltransferase; heptaprenyl diphosphate synthase component II; nucleoside diphosphate kinase
1171588	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22780; BSU22770	folE; mtrB	GTP cyclohydrolase I; transcription attenuation protein MtrB
1171589	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22820; BSU22810	yphE; yphF	hypothetical protein; lipoprotein
1171590	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22840; BSU22830	engA; gpsA	GTP-binding protein EngA; NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
1171591	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU22860; BSU22850; BSU22849	yphA; seaA; ypzH	integral inner membrane protein; hypothetical protein; hypothetical protein
1171592	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22880; BSU22870	rpsA; fni	30S ribosomal protein S1; isopentenyl pyrophosphate isomerase
1171593	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22910; BSU22900	ypfA; ypfB	cyclic diGMP binding protein; hypothetical protein
1171594	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU22930; BSU22920	sleB; ypeB	spore cortex-lytic enzyme; spore membrane component
1171595	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU23030; BSU23020; BSU23010; BSU23000	ypbB; recQ; ypbD; ypbE	hypothetical protein; ATP-dependent DNA helicase; membrane protease; hypothetical protein
1171596	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23100; BSU23090	sigX; rsiX	RNA polymerase sigma factor SigX; negative regulator of sigma(X) activity
1171597	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU23150; BSU23140; BSU23130; BSU23120; BSU23110	resA; resB; resC; resD; resE	thiol-disulfide oxidoreductase; factor required for cytochrome c synthesis; factor required for cytochrome c synthesis; two-component response regulator; two-component sensor histidine kinase
1171598	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU23190; BSU23180; BSU23170	dacB; spmA; spmB	D-alanyl-D-alanine carboxypeptidase; spore maturation protein; spore maturation protein
1171599	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23220; BSU23210	scpA; spcB	segregation and condensation protein A; chromosome condensation and segregation factor
1171600	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU23280; BSU23270; BSU23260; BSU23250	ribD; ribE; ribA; ribH	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase; riboflavin synthase subunit alpha; bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein; 6,7-dimethyl-8-ribityllumazine synthase
1171601	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU23440; BSU23430; BSU23420; BSU23410; BSU23402; BSU23401; BSU23390	spoVAA; spoVAB; spoVAC; spoVAD; spoVAEB; spoVAEA; spoVAF	stage V sporulation protein AA; stage V sporulation protein AB; stage V sporulation protein AC; stage V sporulation protein AD; spore germinant protein; stage V sporulation germinant protein; stage V sporulation protein AF
1171602	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU23470; BSU23460; BSU23450	spoIIAA; spoIIAB; sigF	anti-anti-sigma factor (antagonist of SpoIIAB); anti-sigma F factor; sporulation sigma factor SigF
1171603	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23500; BSU23490	drm; pupG	phosphopentomutase; purine nucleoside phosphorylase
1171604	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23519; BSU23510	yqzK; xerD	hypothetical protein; site-specific tyrosine recombinase XerD
1171605	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23560; BSU23550	mleN; mleA	malate-H+/Na+-lactate antiporter; NAD-dependent malic enzyme
1171606	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23580; BSU23570	ansA; aspA	exported L-asparaginase; aspartate ammonia-lyase
1171607	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23610; BSU23600	nudF; yqxK	ADP-ribose pyrophosphatase; hypothetical protein
1171608	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU23690; BSU23680; BSU23670; BSU23660; BSU23650	yqjY; yqjZ; yqkA; yqkB; yqkC	acetyltransferase; degradation enzyme (oxygenase); hypothetical protein; hypothetical protein; hypothetical protein
1171609	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23710; BSU23700	yqjW; yqjX	DNA polymerase IV; hypothetical protein
1171610	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23740; BSU23730	yqjU; yqjV	hypothetical protein; efflux transporter
1171611	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU23770; BSU23760; BSU23750	dsdA; coaA; yqjT	D-serine dehydratase; pantothenate kinase; lyase
1171612	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23790; BSU23780	yqjP; yqjQ	metal-dependent hydrolase; metabolite dehydrogenase, NAD-binding
1171613	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23870; BSU23860	yqjH; yqjI	DNA polymerase IV; 6-phosphogluconate dehydrogenase
1171614	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23890; BSU23880	yqjG; yqzJ	OxaA-like protein precursor; hypothetical protein
1171615	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU23930; BSU23920; BSU23910	yqjC; yqjD; yqjE	lyase; acyl-CoA carboxylase; deacylase
1171616	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23950; BSU23940	yqjA; yqjB	hypothetical protein; hypothetical protein
1171617	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU23970; BSU23960	artQ; artR	High affinity arginine ABC transporter permease; High affinity arginine ABC transporter ATP-binding protein
1171618	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU24090; BSU24080; BSU24070; BSU24060; BSU24050; BSU24040; BSU24030	ptb; bcd; buk; lpdV; bkdAA; bkdAB; bkdB	phosphate butyryltransferase; branched-chain amino acid dehydrogenase; butyrate kinase; dihydrolipoamide dehydrogenase; branched-chain alpha-keto acid dehydrogenase E1 subunit; branched-chain alpha-keto acid dehydrogenase E1 subunit; branched-chain alpha-keto acid dehydrogenase subunit E2
1171619	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU24170; BSU24160; BSU24150; BSU24140; BSU24130; BSU24120	mmgA; mmgB; mmgC; mmgD; prpD; prpB	acetyl-CoA acetyltransferase; 3-hydroxybutyryl-CoA dehydrogenase; short chain acyl-CoA dehydrogenase; citrate synthase 3; 2-methylcitrate dehydratase; 2-methylisocitrate lyase
1171620	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU24200; BSU24190; BSU24180	yqiH; yqiI; yqiK	lipoprotein; N-acetylmuramoyl-L-alanine amidase; glycerophosphodiester phosphodiesterase
1171621	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU24250; BSU24240	ahrC; recN	arginine repressor; factor for double strand breaks DNA repair and genetic recombination
1171622	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU24270; BSU24260	dxs; yqxC	1-deoxy-D-xylulose-5-phosphate synthase; methyltransferase
1171623	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU24300; BSU24290; BSU24280	xseA; xseB; ispA	exodeoxyribonuclease VII large subunit; exodeoxyribonuclease VII small subunit; geranyltranstransferase
1171624	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU24320; BSU24310	nusB; folD	transcription antitermination protein NusB; bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
